dept,grade,annual_salary,hourly_rate,grade_label
Foreign and Commonwealth Office (excl. agencies),eo,28750,17.58,EO
Foreign and Commonwealth Office (excl. agencies),aoaa,27220,16.64,AO/AA
Foreign and Commonwealth Office (excl. agencies),total,39020,23.86,Unknown
FCO Services,scs,115050,70.35,SCS
FCO Services,g6g7,57790,35.34,Grade 6/Grade 7
FCO Services,seoheo,39900,24.4,SEO/HEO
FCO Services,eo,26500,16.2,EO
FCO Services,aoaa,22860,13.98,AO/AA
FCO Services,total,35040,21.43,Unknown
Wilton Park,scs,NA,NA,SCS
Wilton Park,g6g7,56290,34.42,Grade 6/Grade 7
Wilton Park,seoheo,33790,20.66,SEO/HEO
Wilton Park,eo,25240,15.43,EO
Wilton Park,aoaa,22410,13.7,AO/AA
Wilton Park,total,25470,15.57,Unknown
Department of Health and Social Care (excl. agencies),scs,75950,46.44,SCS
Department of Health and Social Care (excl. agencies),g6g7,53530,32.73,Grade 6/Grade 7
Department of Health and Social Care (excl. agencies),seoheo,35750,21.86,SEO/HEO
Department of Health and Social Care (excl. agencies),eo,26470,16.19,EO
Department of Health and Social Care (excl. agencies),aoaa,22250,13.61,AO/AA
Department of Health and Social Care (excl. agencies),total,40500,24.76,Unknown
Medicines and Healthcare Products Regulatory Agency,scs,83040,50.78,SCS
Medicines and Healthcare Products Regulatory Agency,g6g7,53140,32.49,Grade 6/Grade 7
Medicines and Healthcare Products Regulatory Agency,seoheo,39850,24.37,SEO/HEO
Medicines and Healthcare Products Regulatory Agency,eo,26840,16.41,EO
Medicines and Healthcare Products Regulatory Agency,aoaa,22980,14.05,AO/AA
Medicines and Healthcare Products Regulatory Agency,total,41050,25.1,Unknown
Public Health England,scs,107670,65.84,SCS
Public Health England,g6g7,53640,32.8,Grade 6/Grade 7
Public Health England,seoheo,36480,22.31,SEO/HEO
Public Health England,eo,26410,16.15,EO
Public Health England,aoaa,20860,12.76,AO/AA
Public Health England,total,38760,23.7,Unknown
HM Land Registry,scs,80380,49.15,SCS
HM Land Registry,g6g7,58890,36.01,Grade 6/Grade 7
HM Land Registry,seoheo,31700,19.38,SEO/HEO
HM Land Registry,eo,25250,15.44,EO
HM Land Registry,aoaa,20660,12.63,AO/AA
HM Land Registry,total,25250,15.44,Unknown
HM Revenue and Customs,scs,79580,48.66,SCS
HM Revenue and Customs,g6g7,54730,33.47,Grade 6/Grade 7
HM Revenue and Customs,seoheo,32550,19.9,SEO/HEO
HM Revenue and Customs,eo,24820,15.18,EO
HM Revenue and Customs,aoaa,19550,11.95,AO/AA
HM Revenue and Customs,total,25120,15.36,Unknown
Valuation Office Agency,scs,81040,49.55,SCS
Valuation Office Agency,g6g7,55810,34.13,Grade 6/Grade 7
Valuation Office Agency,seoheo,37000,22.62,SEO/HEO
Valuation Office Agency,eo,24960,15.26,EO
Valuation Office Agency,aoaa,20170,12.33,AO/AA
Valuation Office Agency,total,29250,17.89,Unknown
HM Treasury,scs,76770,46.94,SCS
HM Treasury,g6g7,55360,33.85,Grade 6/Grade 7
HM Treasury,seoheo,32000,19.57,SEO/HEO
HM Treasury,eo,26160,16,EO
HM Treasury,aoaa,22500,13.76,AO/AA
HM Treasury,total,51000,31.19,Unknown
Debt Management Office,scs,NA,NA,SCS
Debt Management Office,g6g7,65710,40.18,Grade 6/Grade 7
Debt Management Office,seoheo,40000,24.46,SEO/HEO
Debt Management Office,eo,28860,17.65,EO
Debt Management Office,aoaa,NA,NA,AO/AA
Debt Management Office,total,52100,31.86,Unknown
Government Internal Audit Agency,scs,86430,52.85,SCS
Government Internal Audit Agency,g6g7,55840,34.14,Grade 6/Grade 7
Government Internal Audit Agency,seoheo,39280,24.02,SEO/HEO
Government Internal Audit Agency,eo,26740,16.35,EO
Government Internal Audit Agency,aoaa,NA,NA,AO/AA
Government Internal Audit Agency,total,44620,27.28,Unknown
National Infrastructure Commission,scs,NA,NA,SCS
National Infrastructure Commission,g6g7,61930,37.87,Grade 6/Grade 7
National Infrastructure Commission,seoheo,38680,23.65,SEO/HEO
National Infrastructure Commission,eo,NA,NA,EO
National Infrastructure Commission,aoaa,NA,NA,AO/AA
National Infrastructure Commission,total,51190,31.3,Unknown
Office for Budget Responsibility,scs,NA,NA,SCS
Office for Budget Responsibility,g6g7,57010,34.86,Grade 6/Grade 7
Office for Budget Responsibility,seoheo,35940,21.98,SEO/HEO
Office for Budget Responsibility,eo,NA,NA,EO
Office for Budget Responsibility,aoaa,NA,NA,AO/AA
Office for Budget Responsibility,total,52380,32.03,Unknown
Home Office,scs,81520,49.85,SCS
Home Office,g6g7,56300,34.43,Grade 6/Grade 7
Home Office,seoheo,34530,21.11,SEO/HEO
Home Office,eo,25650,15.68,EO
Home Office,aoaa,21010,12.85,AO/AA
Home Office,total,27240,16.66,Unknown
Department for International Development,scs,77190,47.2,SCS
Department for International Development,g6g7,55250,33.78,Grade 6/Grade 7
Department for International Development,seoheo,37500,22.93,SEO/HEO
